id,name,x,y,player_id,rank,unknown
582,Evil+Operation,496,472,9735896,92,0
583,Barbarian+village,480,564,0,22,0
584,aa+vad,488,493,9910323,101,0
585,Drunks+village,481,477,10030213,108,0
586,Barbarian+village,570,495,0,21,0
587,Nocturnes+village,489,473,10074353,129,0
588,Geo+dont+do+sober,488,475,9723352,136,0
589,Hektiks+village,479,470,10206900,87,0
590,Barbarian+village,534,454,0,21,0
591,Bonus+village,499,528,0,27,8
592,Cool+Cool+Cools+village,465,485,10368269,96,0
593,kpaps+village,486,486,10745710,142,0
594,Barbarian+village,504,502,0,21,0
595,Dirty+Swedes+Botting+Again,492,480,11129135,101,0
596,NoPressures+village,482,482,11250981,137,0
597,Barbarian+village,549,551,0,21,0
598,Yoshisaurs+village,482,471,11291357,129,0
599,Demolitions+village,505,475,11335777,102,0
600,Timothy+Muss+village,490,459,11457436,104,0
601,Juve+001,500,486,11458366,101,0
602,Lite+Users+village,494,472,11458581,127,0
603,Barbarian+village,524,492,0,21,0
604,TILY97s+village,482,465,11461343,61,0
605,Barbarian+village,433,503,0,33,0
606,.XI.s+village,506,479,11475491,93,0
607,Bygg+byar+med+Mulle+Mecks+village,488,474,11520529,96,0
608,Barbarian+village,509,527,0,21,0
609,Bonus+village,454,483,0,21,9
610,Stashos+village,482,475,11546917,106,0
611,Lady+Corinas+village,506,467,11584473,179,0
612,mi3jes+village,509,460,11366808,21,0
613,Barbarian+village,449,542,0,21,0
614,RedKebabScams+village,489,501,849036801,96,0
615,Barbarian+village,517,568,0,23,0
616,Clecios+village,495,480,849062355,96,0
617,Barbarian+village,545,500,0,27,0
618,Christanias+village,503,477,11528363,21,0
619,Flying+Spoon+McGees+village,499,525,3758216,21,0
620,SassySwagGurus+village,501,519,3766221,82,0
621,Barbarian+village,572,495,0,23,0
622,GEORGIA,493,520,8049221,106,0
623,Georgia,491,526,848891966,125,0
624,Pilo123s+village,486,514,849054245,21,0
625,Barbarian+village,569,524,0,21,0
626,Bonus+village,443,452,0,21,4
627,Wulo1993,489,523,849054239,121,0
628,Barbarian+village,510,486,0,22,0
629,litkafilips+village,495,527,8572750,72,0
630,Barbarian+village,521,539,0,21,0
631,001.,500,531,848946319,103,0
632,Barbarian+village,511,441,0,27,0
633,Adamas+village,498,537,848947162,194,0
634,Caro-Kanns+village,497,525,849056899,21,0
635,Barbarian+village,530,458,0,21,0
636,Henpeckeds+village,495,539,848955863,72,0
